Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,Bitcoin.com,F2Pool,GBMiners,SlushPool,Unknown,ViaBTC,others
2017-03-23 00:00:00 UTC,1.8975268329343786e+17,5.218198790569541e+17,2.371908541167973e+17,7.115725623503919e+16,1.8975268329343786e+17,1.1859542705839866e+17,1.4231451247007838e+17,4.506626228219149e+17,9.487634164671893e+16,2.8462902494015677e+17,7.115725623503919e+16,2.6090993952847706e+17,9.487634164671893e+16,2.371908541167973e+17,5.4553896446863386e+17
2017-03-24 00:00:00 UTC,9.429397599089318e+16,8.01498795922592e+17,1.4144096398633976e+17,2.5930843397495626e+17,3.3002891596812614e+17,2.1216144597950966e+17,1.1786746998861648e+17,4.714698799544659e+17,7.072048199316988e+16,4.9504337395218925e+17,2.1216144597950966e+17,1.4144096398633976e+17,2.1216144597950966e+17,2.3573493997723296e+17,3.536024099658495e+17
2017-03-25 00:00:00 UTC,2.402504995504195e+16,5.2855109901092294e+17,7.207514986512586e+16,1.922003996403356e+17,2.883005994605034e+17,1.2012524977520976e+17,1.2012524977520976e+17,4.8050099910083904e+17,1.2012524977520976e+17,2.883005994605034e+17,9.61001998201678e+16,2.4025049955041952e+17,2.1622544959537757e+17,1.6817534968529366e+17,2.4025049955041952e+17
2017-03-26 00:00:00 UTC,2.089715740219795e+17,6.269147220659384e+17,3.250668929230792e+17,6.9657191340659816e+16,3.0184782914285926e+17,1.8575251024175955e+17,2.3219063780219944e+16,4.17943148043959e+17,9.287625512087978e+16,5.340384669450586e+17,1.8575251024175955e+17,1.8575251024175955e+17,9.287625512087978e+16,2.3219063780219942e+17,3.715050204835191e+17
2017-03-27 00:00:00 UTC,1.893657694052412e+17,4.260729811617927e+17,2.1303649058089635e+17,1.4202432705393091e+17,2.1303649058089635e+17,1.4202432705393091e+17,4.73414423513103e+16,2.1303649058089635e+17,9.46828847026206e+16,3.787315388104824e+17,1.6569504822958608e+17,2.6037793293220666e+17,2.367072117565515e+16,3.3139009645917216e+17,2.8404865410786182e+17
2017-03-28 00:00:00 UTC,9.467301321888128e+16,4.970333193991268e+17,2.366825330472032e+17,1.6567777313304224e+17,1.4200951982832194e+17,1.4200951982832194e+17,1.6567777313304224e+17,4.260285594849658e+17,7.100475991416097e+16,5.4436982600856736e+17,1.183412665236016e+17,2.6035078635192355e+17,2.8401903965664387e+17,2.130142797424829e+17,3.0768729296136416e+17
2017-03-29 00:00:00 UTC,2.3689109292698694e+17,4.500930765612752e+17,3.3164753009778176e+17,1.6582376504889088e+17,1.4213465575619216e+17,1.4213465575619216e+17,2.3689109292698696e+16,3.3164753009778176e+17,9.475643717079478e+16,3.3164753009778176e+17,1.6582376504889088e+17,2.1320198363428826e+17,2.1320198363428826e+17,2.3689109292698694e+17,1.8951287434158954e+17
2017-03-30 00:00:00 UTC,4.921444407370805e+17,5.413588848107886e+17,1.9685777629483222e+17,4.9214444073708056e+16,2.2146499833168624e+17,1.9685777629483222e+17,7.382166611056206e+16,3.691083305528104e+17,9.842888814741611e+16,4.675372187002265e+17,1.2303611018427013e+17,4.675372187002265e+17,9.842888814741611e+16,2.4607222036854026e+17,3.937155525896644e+17
2017-03-31 00:00:00 UTC,2.909689126860667e+17,4.3645336902909997e+17,2.6672150329556112e+17,9.698963756202222e+16,3.152163220765722e+17,2.1822668451454998e+17,9.698963756202222e+16,4.122059596385944e+17,4.849481878101111e+16,3.637111408575833e+17,9.698963756202222e+16,2.909689126860667e+17,1.4548445634303334e+17,7.274222817151667e+16,1.2123704695252778e+17
2017-04-01 00:00:00 UTC,1.9810701764142608e+17,5.200309213087434e+17,1.9810701764142608e+17,7.429013161553478e+16,1.238168860258913e+17,2.2287039484660432e+17,1.733436404362478e+17,3.7145065807767386e+17,7.429013161553478e+16,4.952675441035652e+17,1.238168860258913e+17,2.7239714925696083e+17,1.733436404362478e+17,1.238168860258913e+17,1.238168860258913e+17
2017-04-02 00:00:00 UTC,2.746601789925936e+17,5.742894651663321e+17,2.996292861737385e+17,1.2484553590572438e+17,4.4944392926060774e+17,2.746601789925936e+17,9.987642872457949e+16,4.2447482207946285e+17,1.2484553590572438e+17,5.742894651663321e+17,4.993821436228974e+16,1.4981464308686925e+17,9.987642872457949e+16,2.2472196463030387e+17,1.9975285744915898e+17
