Time,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,kraken,okcoin,others
2017-07-02 00:00:00 UTC,5211.494,12034.14983944,9894.98732196998,10349.87434396,9434.50047698,9931.30315066997,5577.30772796871,15766.74976129,10843.317,20503.53974765778
2017-07-03 00:00:00 UTC,5050.028,16137.98672285,10264.86581105,13862.44338175,13077.81426241,11262.6388642799,6292.291056333,17985.23811692,15109.027,31128.91923026325
2017-07-04 00:00:00 UTC,5061.665,15745.83193552,11426.99251949,11719.8618564,10967.1494934,12100.90589288,4425.1339438841,16754.42986755,12163.23,29965.424763897507
2017-07-05 00:00:00 UTC,5234.971,13532.12873537,9259.95173388,10377.21327949,11751.80134347,11278.8235287,19351.4710464694,14633.49526056,10002.064,23913.100728796355
2017-07-06 00:00:00 UTC,5117.86,9831.42566254,7480.30064162999,6988.17278749,9210.04759061999,9057.87544414998,8440.4468001903,9464.48841797,7063.97399999999,18211.28516672417
2017-07-07 00:00:00 UTC,5027.612,17666.66063976,8908.55672062999,9664.87463386,10581.51614779,12962.05879689,13344.8817591678,13886.56154684,10785.075,23548.513002475338
2017-07-08 00:00:00 UTC,5116.312,9693.3642069,5627.90064106,8138.27324032,6096.19367858,8529.70082749998,5465.3657109977,11774.6347767,7236.44999999999,16802.89721414731
2017-07-09 00:00:00 UTC,5048.159,7782.99210631,4854.13791544,4739.78579256,4873.28769827,6052.81964001999,5919.1271060837,7101.22886854,4315.639,10695.74378831662
2017-07-10 00:00:00 UTC,5037.084,28073.1110257801,15486.75941171,10391.47486648,19773.45109178,17333.9909855801,16481.773147679,25620.42949718,14562.341,33584.63658121113
2017-07-11 00:00:00 UTC,5276.066,33036.1760107999,14649.17853876,15685.22652158,20050.83246646,17683.9410458999,16409.1940891844,28247.33757067,12678.644,35737.45399922696
2017-07-12 00:00:00 UTC,5102.034,21652.64053033,13183.98719086,13126.26449015,15070.38802763,15610.1708109299,13502.3349979861,22234.04960753,10048.377,27601.52505643159
2017-07-13 00:00:00 UTC,5236.912,18415.0661349299,9524.22955644,10526.31266493,9483.36673169,10698.67377577,11858.175893063,16102.51908603,7107.264,21894.02082806567
2017-07-14 00:00:00 UTC,5306.535,27734.2185467801,12466.37751421,11628.05607489,14374.69551997,15169.40468505,13745.082745425,23939.90957325,11984.863,36329.94965793249
2017-07-15 00:00:00 UTC,5146.585,41658.00649692,27840.1513208999,18579.60897852,22701.48725363,17981.2066223199,14820.0951406485,33372.45785354,23347.225,51250.217348322185
2017-07-16 00:00:00 UTC,4944.994,53016.8877524501,20422.3023132899,21261.95440579,28497.41770885,23740.5282414599,13828.2765068446,37879.56588771,15757.773,53681.935460294015
2017-07-17 00:00:00 UTC,5293.58,40491.46900514,24315.7938929799,23028.65669474,30150.92307748,23977.5200047699,18182.6859554426,35376.39643141,16441.1079999999,51569.414328111474
2017-07-18 00:00:00 UTC,5224.224,44171.77259312,24004.6601442999,29472.36640026,28021.1228329,26391.1393022999,28027.301316943,36838.31498617,20724.7709999999,54719.54011992438
2017-07-19 00:00:00 UTC,4963.243,35714.30935332,25629.6270364499,22270.19357224,19224.76282224,20698.2249219899,21099.1230164124,25239.20879424,18844.9239999999,43660.4806330686
2017-07-20 00:00:00 UTC,5925.578,83426.2141576706,31472.56248077,46931.54918404,35676.57238575,39150.8411896001,49679.7539585513,40965.79152861,29926.831,85816.6320546632
2017-07-21 00:00:00 UTC,5229.45,57254.0724935601,27013.7753342098,40189.79487892,23536.87575893,24606.91592846,19179.1320155077,32234.81492384,21397.3449999999,55285.99032638499
2017-07-22 00:00:00 UTC,5153.204,35165.12721165,17791.13056644,32519.29491395,14615.91804471,13331.4639187299,8417.98060899759,19978.41706614,21035.5929999998,43065.96017223883
2017-07-23 00:00:00 UTC,5033.669,35109.61221517,16699.6259741,21511.20338867,12591.90271893,11010.9823455,9719.9304412672,20418.62080839,16560.607,32970.80490798454
2017-07-24 00:00:00 UTC,4973.69,20702.02370637,9246.99536987999,12894.70091279,11264.40051164,9177.90544378995,9195.24382195,12524.96016271,11134.459,28068.97239539577
2017-07-25 00:00:00 UTC,4971.284,54888.1888064302,23180.6842752899,31354.94953445,24664.16497909,21442.9253920399,23008.6930732529,28477.03897098,20291.6799999999,48872.81968825177
2017-07-26 00:00:00 UTC,5049.821,34160.62325111,16895.97052903,17211.65118851,19473.84120102,14340.1421471399,14677.788318846,21473.87233842,15634.666,31039.135126669116
2017-07-27 00:00:00 UTC,5305.218,31193.8398847001,11379.17765815,16320.10948192,13011.96563184,11373.16386122,10312.4191105905,17145.21776637,12471.955,27599.176263912617
2017-07-28 00:00:00 UTC,5283.848,40414.08680059,17320.6211519899,54283.9418013901,16143.36248758,18908.74872561,12199.2756702037,23334.86524277,21765.863,47223.57440609675
2017-07-29 00:00:00 UTC,5210.498,24042.26587199,8022.39684791999,31451.562542,12113.45442566,11068.42772716,7759.2545523802,15718.50991043,9066.94699999999,22024.49186975959
2017-07-30 00:00:00 UTC,5138.433,34687.06109997,7573.76391148998,16356.36333497,10734.82808148,8742.36704616001,5239.3451389198,11918.93510851,10327.102,18712.86587595875
2017-07-31 00:00:00 UTC,5424.03,27562.85922218,12840.29455627,16316.06944566,12575.04481404,12718.6248293,7866.3702053392,20074.39987379,9458.37699999999,24278.433704363342
2017-08-01 00:00:00 UTC,5040.217,42214.74999641,17904.7704836099,13937.48687406,13744.36981669,11526.62944159,7579.85969524599,34918.74051075,28136.468,40006.930545042975
2017-08-02 00:00:00 UTC,5085.187,23637.34290605,8620.05742765999,5394.8487553,10467.66293328,9822.26938391998,7994.4866988303,17138.70752322,20975.069,28660.506473070003
2017-08-03 00:00:00 UTC,5084.69,16852.75326025,7354.93425655,7856.49327273,8952.51376869,8452.16443189999,9804.11309849591,15075.29800241,17025.0400000001,24975.518821451158
2017-08-04 00:00:00 UTC,5461.923,18983.49417895,9049.62595441999,29405.56323632,8776.17689785,9005.34355451998,7122.4281947245,15113.35312005,13038.478,27042.174315126842
2017-08-05 00:00:00 UTC,5311.45,49878.6257395003,25564.9103084199,59078.8935941201,20331.83027254,23679.71921097,14624.8990515546,30786.35012783,30644.3810000001,55609.70244569766
2017-08-06 00:00:00 UTC,5188.533,16934.93153838,14816.9306701799,21213.27120066,6978.94620451,9670.27111569998,6775.94616590449,13478.54438871,15437.46,25100.044050385186
2017-08-07 00:00:00 UTC,5136.253,24523.9666593601,14463.0322968899,24377.12914178,13837.05959839,13207.26863616,9483.20475454867,17643.60681797,16525.98,33298.00560634374
2017-08-08 00:00:00 UTC,5214.431,31677.94072852,18884.0702459599,43104.75324423,18105.6333185,18412.0601091399,11643.9822085929,20033.07488152,22276.839,40896.73639982822
