Time,asks,bids,price
2019-08-05 00:00:00 UTC,23695738.9739874,22612770.3303714,11645.7801654639
2019-08-12 00:00:00 UTC,17647565.6727939,21199589.7499948,10719.3189459972
2019-08-19 00:00:00 UTC,15813130.4746347,22682957.5740048,10314.6773114557
2019-08-26 00:00:00 UTC,15080094.3303185,28162671.5668003,9828.44054711245
2019-09-02 00:00:00 UTC,18521193.4540672,20025619.7385473,10445.1770084833
2019-09-09 00:00:00 UTC,20467262.562433,29225558.7990896,10253.649173714
2019-09-16 00:00:00 UTC,18219562.4455632,26949304.5239641,10121.1330999999
2019-09-23 00:00:00 UTC,10832295.994944,22387941.9870258,8614.15847372162
2019-09-30 00:00:00 UTC,10782943.208466,19377066.2149879,8166.4362178848
2019-10-07 00:00:00 UTC,9890958.81724988,12539986.3892653,8319.84611451942
2019-10-14 00:00:00 UTC,10063446.5031405,12622343.7821589,8088.38368037765
2019-10-21 00:00:00 UTC,9292449.09285197,13999462.1969122,8314.51409036603
2019-10-28 00:00:00 UTC,9878714.10334379,17889249.195498,9272.95777051614
2019-11-04 00:00:00 UTC,10585059.766449,17175171.8377673,9120.98112128561
2019-11-11 00:00:00 UTC,9471655.91524042,17914239.9152475,8640.23057148459
2019-11-18 00:00:00 UTC,6888391.02376044,12699917.8476923,7740.66424657536
2019-11-25 00:00:00 UTC,9920997.33306856,8988985.68827868,7353.53475372786
2019-12-02 00:00:00 UTC,10977829.9611514,10764664.073667,7379.26928380684
2019-12-09 00:00:00 UTC,9659215.32756547,16794483.1545628,7230.59643804144
2019-12-16 00:00:00 UTC,10823609.5912082,14034086.5009883,7037.94391437239
2019-12-23 00:00:00 UTC,10519178.1110684,11874302.4800686,7295.366136427
2019-12-30 00:00:00 UTC,11175241.5555148,13098438.3427792,7241.5492544456
2020-01-06 00:00:00 UTC,10522755.2053671,14067051.9294464,7962.86253152834
2020-01-13 00:00:00 UTC,14169979.9893208,13345905.9949361,8689.63004479254
2020-01-20 00:00:00 UTC,9257107.06871049,15696631.165,8501.12059593434
2020-01-27 00:00:00 UTC,16653429.9391814,13892135.9528056,9220.43067215298
2020-02-03 00:00:00 UTC,17903930.0325424,15800509.8928808,9537.26952076091
2020-02-10 00:00:00 UTC,18032516.5177628,13995048.2481125,10117.5313638521
2020-02-17 00:00:00 UTC,16135249.8901092,14558979.3568618,9783.4153504955
2020-02-24 00:00:00 UTC,11090981.4113234,16504009.7626613,8998.24702859107
2020-03-02 00:00:00 UTC,9583620.23590787,15672113.4138904,8860.02990097493
2020-03-09 00:00:00 UTC,6238288.19251356,9786319.27112137,6666.53734717177
2020-03-16 00:00:00 UTC,7317785.76419955,8401909.10872441,5709.28072904856
2020-03-23 00:00:00 UTC,11593954.2410035,11864007.9405065,6440.33416787451
2020-03-30 00:00:00 UTC,11765008.6981614,12647339.938725,6587.67331103938
2020-04-06 00:00:00 UTC,14599174.5698974,13306679.9439945,7111.05861357619
2020-04-13 00:00:00 UTC,13735405.814929,12720993.7664517,6966.12338306263
2020-04-20 00:00:00 UTC,13489952.0580385,15578214.6445131,7269.58612508569
2020-04-27 00:00:00 UTC,16187429.889218,15336433.8958157,8438.88042713831
2020-05-04 00:00:00 UTC,20356532.7338204,17351096.8265899,9235.63207308136
2020-05-11 00:00:00 UTC,22183512.5228474,15900985.3882657,9239.37871144252
2020-05-18 00:00:00 UTC,26969923.6518085,22613517.0516537,9374.90312268991
2020-05-25 00:00:00 UTC,24403899.8917952,20749460.9217216,9225.73320373748
2020-06-01 00:00:00 UTC,26117207.0248209,21030045.157798,9677.13343212572
2020-06-08 00:00:00 UTC,27728639.1340245,24485749.7841774,9586.46520884337
2020-06-15 00:00:00 UTC,27353514.7486473,25303955.5633522,9365.88068357982
2020-06-22 00:00:00 UTC,26140324.0811751,25259410.7710922,9300.04081931086
2020-06-29 00:00:00 UTC,26992217.7826382,24254743.312043,9123.64885578039
2020-07-06 00:00:00 UTC,26631096.6942844,23319504.8174869,9262.72856587831
2020-07-13 00:00:00 UTC,28643949.2794809,22896070.5743713,9186.04292503571
2020-07-20 00:00:00 UTC,25797574.7127341,21025255.8301717,9485.01467419677
2020-07-27 00:00:00 UTC,22446234.1575283,16373615.3898508,11079.9487834765
2020-08-03 00:00:00 UTC,19206322.5629116,21803518.5777446,11544.2551259292
2020-08-10 00:00:00 UTC,22073507.7713228,20673232.7165869,11719.0776027759
2020-08-17 00:00:00 UTC,20347972.9639828,20549358.947403,11818.5904939456
2020-08-24 00:00:00 UTC,20188157.7577182,20541478.774665,11506.8045935557
2020-08-31 00:00:00 UTC,12685067.802795,21714832.9248358,10994.1466318403
2020-09-07 00:00:00 UTC,8532093.86767498,29791376.53548,10273.3565811098
2020-09-14 00:00:00 UTC,14576526.1757456,17080353.3129137,10834.474239878
2020-09-21 00:00:00 UTC,11526486.2830036,21390742.2243511,10593.9127792755
2020-09-28 00:00:00 UTC,14968975.3289574,20959326.6589278,10682.9600912309
2020-10-05 00:00:00 UTC,17772822.3808719,18391561.9842355,10924.167324162
2020-10-12 00:00:00 UTC,23855180.1221137,17946348.0465436,11407.8151188661
2020-10-19 00:00:00 UTC,23813903.3749191,18637350.5244701,12541.4004003075
2020-10-26 00:00:00 UTC,24951292.3077228,22830903.0429727,13448.4866582315
2020-11-02 00:00:00 UTC,24907830.4744374,22739560.3283502,14591.4926198732
2020-11-09 00:00:00 UTC,28227770.4846524,22655353.8448312,15786.4252001106
2020-11-16 00:00:00 UTC,46280163.8616208,21967493.613333,17807.7372481997
2020-11-23 00:00:00 UTC,36210173.5873598,23436256.2459321,18012.2354201723
2020-11-30 00:00:00 UTC,48288814.3887588,29576267.6224121,19100.7029996804
2020-12-07 00:00:00 UTC,42593529.7916886,41953221.4602224,18608.5998423941
2020-12-14 00:00:00 UTC,47162882.6190267,34696156.6086604,21568.8189154844
2020-12-21 00:00:00 UTC,41362123.0250235,34278547.948015,24213.0294348778
2020-12-28 00:00:00 UTC,55930713.7690212,33011525.3438154,29207.0064642067
2021-01-04 00:00:00 UTC,58541785.6839785,34926613.4645583,36710.8010630645
2021-01-11 00:00:00 UTC,49303296.2404829,37097779.8942362,36049.3885059887
2021-01-18 00:00:00 UTC,37840570.510024,53165261.4709681,33802.6735951766
2021-01-25 00:00:00 UTC,31284381.6051189,47814370.418408,32974.7037758595
2021-02-01 00:00:00 UTC,66416710.2846318,42613291.280642,37046.8291288083
2021-02-08 00:00:00 UTC,109009958.360904,61469750.3367752,46174.4965060115
2021-02-15 00:00:00 UTC,106130907.171585,77220365.8396515,52350.5494253814
2021-02-22 00:00:00 UTC,42650715.8587989,76037484.6882184,48801.8911429049
2021-03-01 00:00:00 UTC,44503992.4508141,57959275.5580484,48885.0371700313
2021-03-08 00:00:00 UTC,113573833.995842,60329067.9993688,55961.9678716786
2021-03-15 00:00:00 UTC,78606937.4792795,71029396.236109,57432.9693493243
2021-03-22 00:00:00 UTC,73927902.3569256,69193510.9822801,54730.0480542303
2021-03-29 00:00:00 UTC,116341586.122421,58762492.0881056,58420.1760748838
2021-04-05 00:00:00 UTC,108411869.152214,75349879.1161556,58139.4375131523
2021-04-12 00:00:00 UTC,107197170.938259,79381660.2206003,61111.1504429066
2021-04-19 00:00:00 UTC,38729006.7338304,68368210.022044,52744.7533068362
2021-04-26 00:00:00 UTC,44254487.519858,36774514.7239405,53221.1850316456
2021-05-03 00:00:00 UTC,73008125.45513,46711537.4932909,57043.7820516796
2021-05-10 00:00:00 UTC,46996768.8545429,55346986.4243439,51733.9373802654
2021-05-17 00:00:00 UTC,21169038.0974156,41963430.0432487,39908.4481344033
2021-05-24 00:00:00 UTC,25240497.2768229,32913078.9647112,36979.7187547649
2021-05-31 00:00:00 UTC,29728969.6718265,38657869.636854,36886.8994860759
2021-06-07 00:00:00 UTC,36172252.7541927,44819358.7360511,35947.8373642857
2021-06-14 00:00:00 UTC,16649525.9490422,48158596.6203957,35814.5122116603
2021-06-21 00:00:00 UTC,17494164.6539796,51733685.188245,32919.6730998703
2021-06-28 00:00:00 UTC,27662486.2800097,52287823.2074703,34138.2569796484
2021-07-05 00:00:00 UTC,27613656.7488718,55381345.4184542,34271.4111729142
2021-07-12 00:00:00 UTC,27445203.6948014,66703635.0205382,32394.3525
2021-07-19 00:00:00 UTC,38047321.8545464,30705125.3268898,33374.5782226279
2021-07-26 00:00:00 UTC,38662069.2794755,32494432.1157688,38694.4203805763
2021-08-02 00:00:00 UTC,45128562.8988166,37170738.1935725,42432.3501666666
2021-08-09 00:00:00 UTC,55086911.9624637,47504591.738896,45959.0169988956
2021-08-16 00:00:00 UTC,68949519.7073351,48492927.726708,46995.5670747423
2021-08-23 00:00:00 UTC,61013784.2663864,54537718.598108,48532.7840998448
2021-08-30 00:00:00 UTC,61435352.0576822,62427484.274352,48047.0505154639
2021-11-01 00:00:00 UTC,84382738.0425691,84478279.3967783,61485.022929078
2021-11-08 00:00:00 UTC,103089872.443347,81030962.4290884,65410.3896151912
2021-11-15 00:00:00 UTC,55730711.3973705,96396734.2216828,59993.9026520865
2021-11-22 00:00:00 UTC,34076907.9208053,107540150.569339,57238.3652378774
2021-11-29 00:00:00 UTC,50608294.0623,59504275.0071849,56579.7795833333
2021-12-06 00:00:00 UTC,31756209.6146755,45406262.5687688,49951.0590795724
2021-12-13 00:00:00 UTC,56360363.1928929,62162105.7336419,48042.3786111111
2021-12-20 00:00:00 UTC,46360736.8237631,53681290.5073331,49897.5602807571
2021-12-27 00:00:00 UTC,37519518.7603542,73171955.8813913,48035.5172493766
2022-01-03 00:00:00 UTC,28756402.9164341,91196204.4221523,43967.293044022
2022-01-10 00:00:00 UTC,31544136.7459085,56185581.4023498,42619.3935294118
2022-01-17 00:00:00 UTC,29972459.0449214,62043010.9276065,39763.3900100654
2022-01-24 00:00:00 UTC,24359485.5602229,39459829.323586,36438.4463588283
2022-01-31 00:00:00 UTC,37119036.5606613,46563280.5696185,37641.2084210526
2022-02-07 00:00:00 UTC,35549647.3610579,42730926.3087936,43788.57958159
2022-02-14 00:00:00 UTC,24129495.144216,47183607.5772859,39387.6867718447
